feature,importance
text_feat_430,0.0
text_feat_431,0.0
text_feat_432,0.0
text_feat_433,0.0
text_feat_434,0.0
text_feat_435,0.0
text_feat_436,0.0
text_feat_437,0.0
text_feat_438,0.0
text_feat_439,0.0
text_feat_440,0.0
text_feat_441,0.0
text_feat_442,0.0
text_feat_443,0.0
text_feat_444,0.0
text_feat_445,0.0
text_feat_446,0.0
text_feat_447,0.0
text_feat_448,0.0
text_feat_449,0.0
text_feat_450,0.0
text_feat_451,0.0
text_feat_452,0.0
text_feat_453,0.0
text_feat_454,0.0
text_feat_455,0.0
text_feat_456,0.0
text_feat_457,0.0
text_feat_458,0.0
text_feat_459,0.0
text_feat_460,0.0
text_feat_461,0.0
text_feat_462,0.0
text_feat_463,0.0
text_feat_464,0.0
text_feat_465,0.0
text_feat_466,0.0
text_feat_467,0.0
text_feat_468,0.0
text_feat_469,0.0
text_feat_470,0.0
text_feat_471,0.0
text_feat_472,0.0
text_feat_473,0.0
text_feat_474,0.0
text_feat_475,0.0
text_feat_476,0.0
text_feat_477,0.0
text_feat_478,0.0
text_feat_479,0.0
text_feat_480,0.0
text_feat_497,0.0
favorites,0.0
log_likes,0.0
log_comments,0.0
log_shares,0.0
log_views,0.0
log_favorites,0.0
text_feat_498,0.0
comment_like_ratio,0.0
favorite_like_ratio,0.0
title_len,0.0
title_words,0.0
desc_len,0.0
desc_words,0.0
tag_encoded,0.0
img_feat_0,0.0
text_feat_481,0.0
text_feat_482,0.0
text_feat_483,0.0
text_feat_484,0.0
text_feat_485,0.0
text_feat_486,0.0
text_feat_487,0.0
text_feat_488,0.0
text_feat_489,0.0
text_feat_490,0.0
text_feat_491,0.0
text_feat_492,0.0
text_feat_493,0.0
text_feat_494,0.0
text_feat_495,0.0
text_feat_496,0.0
